Mtotal,q,log(TeffHdC),log(LHdC),log(RHdC),HdC lifetime,Per cent lifetime,log(C),log(N)_start,log(N)_end,log(O),log(F),C/O,16O/18O,12C/13C
0.675,0.525,3.77,3.69,1.82,1.20,21.32,9.21,7.36,7.96,8.60,6.07,3.06,19.64,7.30
0.675,0.550,3.77,3.65,1.81,1.04,16.88,9.27,7.39,7.95,8.60,6.30,3.54,27.54,7.44
0.675,0.625,3.78,3.55,1.73,0.70,9.20 ,9.27,7.48,7.95,8.60,6.25,3.45,20.08,7.55
0.675,0.650,3.79,3.52,1.70,0.64,7.91 ,9.24,7.54,7.95,8.61,6.15,3.24,16.99,7.33
0.675,0.675,3.80,3.49,1.67,0.55,6.41 ,9.22,7.52,7.95,8.61,6.04,3.07,13.99,7.45
0.700,0.400,3.74,3.92,2.01,2.14,64.38,9.25,7.06,7.96,8.59,6.21,3.47,46.43,7.91
0.700,0.450,3.75,3.86,1.95,2.41,62.36,9.22,7.16,7.95,8.60,6.29,3.18,36.11,7.17
0.700,0.500,3.76,3.78,1.90,2.63,55.58,9.24,7.26,7.95,8.60,6.31,3.31,29.39,7.75
0.700,0.550,3.77,3.72,1.85,0.71,12.54,9.24,7.32,7.95,8.60,6.19,3.28,24.76,7.83
0.700,0.575,3.77,3.69,1.82,1.75,30.27,9.21,7.35,7.95,8.60,6.16,3.05,21.32,7.34
0.725,0.350,3.71,4.05,2.13,1.84,75.33,9.32,6.94,7.94,8.59,6.57,4.03,158.8, 10.14
0.725,0.400,3.73,3.99,2.06,2.24,75.30,9.24,7.02,7.96,8.59,6.12,3.35,51.73,8.01
0.725,0.450,3.75,3.92,1.98,2.59,75.12,9.16,7.10,7.97,8.59,6.00,2.78,24.87,7.32
0.725,0.500,3.75,3.85,1.95,3.15,74.55,9.24,7.23,7.95,8.59,6.41,3.34,39.29,8.19
0.725,0.550,3.77,3.78,1.88,3.52,72.76,9.19,7.27,7.96,8.60,6.08,2.89,20.36,7.88
0.750,0.350,3.70,4.10,2.17,1.82,81.60,9.33,6.90,7.95,8.59,6.55,4.12,198.4, 11.53
0.750,0.400,3.73,4.04,2.09,2.21,82.27,9.24,6.97,7.97,8.59,6.11,3.40,57.23,8.85
0.750,0.450,3.75,3.97,2.01,2.57,82.12,9.16,7.03,7.97,8.59,5.94,2.78,28.55,7.50
0.750,0.500,3.74,3.91,2.00,3.17,83.19,9.24,7.15,7.95,8.59,6.50,3.37,49.04,8.92
0.750,0.550,3.76,3.84,1.92,3.61,83.27,9.18,7.24,7.96,8.60,6.13,2.91,25.07,8.08
0.775,0.350,3.70,4.16,2.21,1.77,85.88,9.31,6.94,7.95,8.58,6.76,3.98,157.4, 12.68
0.775,0.400,3.72,4.09,2.13,2.13,86.40,9.26,6.96,7.96,8.58,6.56,3.58,90.84,10.62
0.775,0.425,3.72,4.07,2.13,2.36,86.60,9.26,7.07,7.96,8.59,6.37,3.54,82.13,9.54
0.775,0.550,3.76,3.90,1.96,3.48,88.34,9.19,7.16,7.97,8.59,6.09,2.93,30.36,8.24
0.775,0.575,3.76,3.87,1.93,3.69,88.59,9.16,7.19,7.97,8.60,6.01,2.71,23.17,7.89
0.700,0.625,3.78,3.62,1.77,1.15,17.34,9.22,7.45,7.95,8.60,6.11,3.08,18.50,7.50
0.700,0.650,3.79,3.59,1.74,0.95,13.40,9.21,7.49,7.95,8.61,6.13,3.04,17.56,7.41
0.725,0.625,3.78,3.68,1.81,3.61,61.21,9.21,7.39,7.95,8.60,6.18,3.03,21.70,7.42
0.725,0.650,3.79,3.66,1.78,2.15,34.45,9.18,7.42,7.96,8.61,6.08,2.84,17.40,7.41
0.750,0.625,3.78,3.75,1.85,4.38,82.85,9.18,7.35,7.96,8.60,6.16,2.82,21.05,7.60
0.750,0.650,3.78,3.72,1.83,4.63,82.48,9.18,7.38,7.96,8.60,6.11,2.83,20.52,7.49
0.775,0.625,3.77,3.80,1.89,4.27,88.88,9.18,7.29,7.96,8.60,6.14,2.82,24.25,7.81
0.775,0.650,3.77,3.78,1.86,4.53,89.08,9.17,7.34,7.95,8.60,6.35,2.80,23.65,7.90
0.725,0.450,3.74,3.92,2.00,2.60,75.38,9.22,7.09,7.96,8.59,6.27,3.14,44.47,7.28
0.738,0.450,3.75,3.95,2.01,2.60,78.94,9.19,7.06,7.96,8.60,6.16,2.96,39.54,7.09
0.760,0.450,3.74,4.00,2.04,2.54,84.42,9.19,7.04,7.96,8.59,6.20,3.00,43.39,7.82
0.770,0.450,3.74,4.02,2.06,2.50,86.37,9.19,7.01,7.97,8.59,6.32,2.98,48.00,8.11
0.790,0.450,3.73,4.06,2.08,2.41,88.98,9.19,7.00,7.97,8.59,6.32,2.99,39.65,8.55
0.805,0.450,3.73,4.08,2.11,2.33,90.61,9.22,6.98,7.97,8.59,6.44,3.16,58.53,9.05
0.818,0.450,3.72,4.11,2.13,2.27,91.28,9.22,6.96,7.96,8.59,6.59,3.22,62.45,9.86
0.830,0.450,3.72,4.13,2.15,2.21,92.77,9.22,6.99,7.95,8.59,6.74,3.21,67.08,10.68
0.850,0.450,3.72,4.17,2.18,2.12,93.40,9.23,7.02,7.93,8.59,6.94,3.29,60.40,12.90