Model	${M}_{\mathrm{tot}}({M}_{\odot })$	${M}_{\mathrm{CO}}({M}_{\odot })$	Metallicity	Nuclear Net	overshoot_f	Initial ^1H	^16O/^18O	C/O	
1	0.8	0.53	Solar	MESA75	0	2.86e-5	3.05	75.56	
2	0.8	0.53	Solar	MESA75	0	1.00e-99	1.96	64.87	
3	0.8	0.53	Solar	MESA75	0	1.00e-20	1.17	52.36	
4	0.8	0.53	Solar	MESA75	0	1.00e-10	1.62	59.81	
5	0.8	0.53	Solar	MESA75	0	1.00e-6	2.38	69.33	
6	0.8	0.53	Solar	MESA75	0	1.00e-4	3.79	68.56	
7	0.8	0.53	Solar	MESA75	0	1.00e-3	158.63	11.71	
8	0.8	0.53	Solar	MESA75	0.014	2.86e-5	1.37	58.67	
9	0.8	0.53	Solar	MESA75	0.02	2.86e-5	0.91	45.97	
10	0.8	0.53	Solar	MESA75	0.03	2.86e-5	0.73	39.75	
11	0.8	0.53	Solar	MESA75	0.05	2.86e-5	0.72	37.68	
12	0.8	0.53	Solar	MESA75	0.055	2.86e-5	0.81	40.09	
13	0.8	0.53	Solar	MESA75	0.06	2.86e-5	0.84	40.67	
14	0.8	0.53	Solar	MESA75	0.065	2.86e-5	1.18	36.89	
15	0.8	0.53	Solar	MESA75	0.068	2.86e-5	2.50	25.16	
16	0.8	0.53	Solar	MESA75	0.07	2.86e-5	4.17	17.39	
17	0.8	0.53	Solar	MESA75	0.073	2.86e-5	8.79	10.04	
18	0.8	0.53	Solar	MESA75	0.075	2.86e-5	11.85	5.96	
19	0.8	0.53	Solar	MESA75	0.1	2.86e-5	155.09	1.33	
20	0.8	0.53	Solar	MESA75	0.14	2.86e-5	1444.50	4.00	
21	0.8	0.53	Solar	MPPNP	0.073	2.86e-5	8.91	6.95	
22	0.8	0.53	Subsolar	MESA75	0	7.20e-5	33.77	282.61	
23	0.8	0.53	Subsolar	MESA75	0	1.00e-99	4.28	330.88	
24	0.8	0.53	Subsolar	MESA75	0	1.00e-20	5.07	331.87	
25	0.8	0.53	Subsolar	MESA75	0	1.00e-10	5.45	347.88	
26	0.8	0.53	Subsolar	MESA75	0.06	1.00e-99	1.23	184.19	
27	0.8	0.53	Subsolar	MESA75	0.065	1.00e-99	4.46	81.36	
28	0.8	0.53	Subsolar	MESA75	0.068	1.00e-99	14.37	30.72	
29	0.8	0.53	Subsolar	MESA75	0.07	1.00e-99	15.20	31.79	
30	0.8	0.53	Subsolar	MESA75	0.073	1.00e-99	55.50	9.69	
31	0.8	0.53	Subsolar	MESA75	0.068	1.00e-10	10.60	39.79	
32	0.8	0.53	Subsolar	MPPNP	0.068	1.00e-10	12	26.91	